county,precinct,office,district,party,office,early_voting,election_day,votes
Erath,Precinct 18 STP,Straight Party,,,Under Votes,23,5,28
Erath,Precinct 18 STP,President,,REP,Mitt Romney \ Paul Ryan,39,14,53
Erath,Precinct 18 STP,President,,DEM,Barack Obama \ Joe Biden,0,1,1
Erath,Precinct 18 STP,President,,LIB,Gary Johnson \ Jim Gray,0,0,0
Erath,Precinct 18 STP,President,,GRN,Jill Stein \ Cheri Honkala,0,0,0
Erath,Precinct 18 STP,President,,,VIRGIL GOODE (W),0,0,0
Erath,Precinct 18 STP,President,,,Over Votes,0,0,0
Erath,Precinct 18 STP,President,,,Under Votes,2,0,2
Erath,Precinct 18 STP,US Senate,,REP,Ted Cruz,38,14,52
Erath,Precinct 18 STP,US Senate,,DEM,Paul Sadler,1,1,2
Erath,Precinct 18 STP,US Senate,,LIB,John Jay Myers,0,0,0
Erath,Precinct 18 STP,US Senate,,GRN,David B. Collins,0,0,0
Erath,Precinct 18 STP,US Senate,,,Over Votes,0,0,0
Erath,Precinct 18 STP,US Senate,,,Under Votes,2,0,2
Erath,Precinct 18 STP,US House,25,REP,Roger Williams,37,13,50
Erath,Precinct 18 STP,US House,25,DEM,Elaine M. Henderson,1,1,2
Erath,Precinct 18 STP,US House,25,LIB,Betsy Dewey,0,0,0
Erath,Precinct 18 STP,US House,25,,Over Votes,0,0,0
Erath,Precinct 18 STP,US House,25,,Under Votes,3,1,4
Erath,Precinct 18 STP,Railroad Commissioner,,REP,Christi Craddick,35,12,47
Erath,Precinct 18 STP,Railroad Commissioner,,DEM,Dale Henry,2,1,3
Erath,Precinct 18 STP,Railroad Commissioner,,LIB,Vivekananda (Vik) Wall,0,0,0
Erath,Precinct 18 STP,Railroad Commissioner,,GRN,Chris Kennedy,0,1,1
Erath,Precinct 18 STP,Railroad Commissioner,,,Over Votes,0,0,0
Erath,Precinct 18 STP,Railroad Commissioner,,,Under Votes,4,1,5
Erath,Precinct 18 STP,Railroad Commissioner,unexpired,REP,Barry Smitherman,36,13,49
Erath,Precinct 18 STP,Railroad Commissioner,unexpired,LIB,Jaime O. Perez,0,0,0
Erath,Precinct 18 STP,Railroad Commissioner,unexpired,GRN,Josh Wendel,1,0,1
Erath,Precinct 18 STP,Railroad Commissioner,unexpired,,Over Votes,0,0,0
Erath,Precinct 18 STP,Railroad Commissioner,unexpired,,Under Votes,4,2,6
Erath,Precinct 18 STP,State Senate,30,REP,Craig Estes,36,12,48
Erath,Precinct 18 STP,State Senate,30,LIB,"Richard Wells Forsythe, Jr.",0,0,0
Erath,Precinct 18 STP,State Senate,30,,Over Votes,0,0,0
Erath,Precinct 18 STP,State Senate,30,,Under Votes,5,3,8
Erath,Precinct 18 STP,State House,59,REP,J.D. Sheffield,38,14,52
Erath,Precinct 18 STP,State House,59,DEM,Bill Norris,0,1,1
Erath,Precinct 18 STP,State House,59,,Over Votes,0,0,0
Erath,Precinct 18 STP,State House,59,,Under Votes,3,0,3
Erath,Precinct 19,Ballots Cast,,,,,,537
Erath,Precinct 19,Straight Party,,REP,Republican Party,190,62,252
Erath,Precinct 19,Straight Party,,DEM,Democratic Party,21,10,31
Erath,Precinct 19,Straight Party,,LIB,Libertarian Party,1,0,1
Erath,Precinct 19,Straight Party,,GRN,Green Party,0,1,1
Erath,Precinct 19,Straight Party,,,Over Votes,0,0,0
Erath,Precinct 19,Straight Party,,,Under Votes,180,72,252
Erath,Precinct 19,President,,REP,Mitt Romney \ Paul Ryan,335,117,452
Erath,Precinct 19,President,,DEM,Barack Obama \ Joe Biden,46,19,65
Erath,Precinct 19,President,,LIB,Gary Johnson \ Jim Gray,3,6,9
Erath,Precinct 19,President,,GRN,Jill Stein \ Cheri Honkala,0,1,1
Erath,Precinct 19,President,,,VIRGIL GOODE (W),0,0,0
Erath,Precinct 19,President,,,Over Votes,0,0,0
Erath,Precinct 19,President,,,Under Votes,8,2,10
Erath,Precinct 19,US Senate,,REP,Ted Cruz,322,115,437
Erath,Precinct 19,US Senate,,DEM,Paul Sadler,54,24,78
Erath,Precinct 19,US Senate,,LIB,John Jay Myers,8,2,10
Erath,Precinct 19,US Senate,,GRN,David B. Collins,2,3,5
Erath,Precinct 19,US Senate,,,Over Votes,0,0,0
Erath,Precinct 19,US Senate,,,Under Votes,6,1,7
Erath,Precinct 19,US House,25,REP,Roger Williams,331,113,444
Erath,Precinct 19,US House,25,DEM,Elaine M. Henderson,46,24,70
Erath,Precinct 19,US House,25,LIB,Betsy Dewey,8,4,12
Erath,Precinct 19,US House,25,,Over Votes,0,0,0
Erath,Precinct 19,US House,25,,Under Votes,7,4,11
Erath,Precinct 19,Railroad Commissioner,,REP,Christi Craddick,311,108,419
Erath,Precinct 19,Railroad Commissioner,,DEM,Dale Henry,54,25,79
Erath,Precinct 19,Railroad Commissioner,,LIB,Vivekananda (Vik) Wall,7,5,12
Erath,Precinct 19,Railroad Commissioner,,GRN,Chris Kennedy,9,4,13
Erath,Precinct 19,Railroad Commissioner,,,Over Votes,0,0,0
Erath,Precinct 19,Railroad Commissioner,,,Under Votes,11,3,14
