county,precinct,office,district,party,candidate,votes,early_votes,election_day
Lubbock,6,"Judge, Court of Criminal Appeals, Place 5",,REP,Scott Walker,8,3,5
Lubbock,6,"Judge, Court of Criminal Appeals, Place 5",,REP,Steve Smith,6,5,1
Lubbock,6,"Judge, Court of Criminal Appeals, Place 5",,REP,Brent Webster,3,1,2
Lubbock,6,"Judge, Court of Criminal Appeals, Place 5",,REP,Sid Harle,1,1,0
Lubbock,6,"Judge, Court of Criminal Appeals, Place 6",,REP,Michael E. Keasler,12,7,5
Lubbock,6,"Judge, Court of Criminal Appeals, Place 6",,REP,Richard Davis,6,3,3
Lubbock,6,"Member, State Board of Education",15,REP,Marty Rowley,18,10,8
Lubbock,6,State Senate,28,REP,Charles Perry,20,9,11
Lubbock,6,State Representative,84,REP,John Frullo,7,3,4
Lubbock,6,State Representative,84,REP,Jim Landtroop,16,10,6
Lubbock,6,"Justice, 7th Court of Appeals District, Place 4",,REP,Jim Campbell,18,10,8
Lubbock,6,"District Judge, 72nd Judicial District",,REP,Ruben G. Reyes,21,10,11
Lubbock,6,"District Judge, 99th Judicial District",,REP,William C. (Bill) Sowder,22,12,10
Lubbock,6,"District Judge, 140th Judicial District",,REP,Jim Bob Darnell,19,9,10
