county,precinct,office,district,party,candidate,early_voting,election_day,votes
Duval,8,Commissioner of the General Land Office,,DEM,Miguel Suazo,409,139,548
Duval,8,Commissioner of the General Land Office,,LIB,Matt Pina,23,9,32
Duval,8,Commissioner of the General Land Office,,,Ballots Cast,739,283,1022
Duval,8,Commissioner of the General Land Office,,,Over Votes,0,0,0
Duval,8,Commissioner of the General Land Office,,,Under Votes,106,34,140
Duval,9,Commissioner of the General Land Office,,REP,George P. Bush,76,48,124
Duval,9,Commissioner of the General Land Office,,DEM,Miguel Suazo,261,155,416
Duval,9,Commissioner of the General Land Office,,LIB,Matt Pina,10,9,19
Duval,9,Commissioner of the General Land Office,,,Ballots Cast,347,212,559
Duval,9,Commissioner of the General Land Office,,,Over Votes,0,0,0
Duval,9,Commissioner of the General Land Office,,,Under Votes,34,19,53
Duval,1,Commissioner of Agriculture,,REP,Sid Miller,99,63,162
Duval,1,Commissioner of Agriculture,,DEM,Kim Olson,459,225,684
Duval,1,Commissioner of Agriculture,,LIB,Richard Carpenter,18,9,27
Duval,1,Commissioner of Agriculture,,,Ballots Cast,576,297,873
Duval,1,Commissioner of Agriculture,,,Over Votes,0,0,0
Duval,1,Commissioner of Agriculture,,,Under Votes,58,43,101
Duval,2,Commissioner of Agriculture,,REP,Sid Miller,80,37,117
Duval,2,Commissioner of Agriculture,,DEM,Kim Olson,391,147,538
Duval,2,Commissioner of Agriculture,,LIB,Richard Carpenter,9,3,12
Duval,2,Commissioner of Agriculture,,,Ballots Cast,480,187,667
Duval,2,Commissioner of Agriculture,,,Over Votes,0,0,0
Duval,2,Commissioner of Agriculture,,,Under Votes,98,34,132
Duval,3,Commissioner of Agriculture,,REP,Sid Miller,26,24,50
Duval,3,Commissioner of Agriculture,,DEM,Kim Olson,135,85,220
Duval,3,Commissioner of Agriculture,,LIB,Richard Carpenter,0,0,0
Duval,3,Commissioner of Agriculture,,,Ballots Cast,161,109,270
Duval,3,Commissioner of Agriculture,,,Over Votes,0,0,0
Duval,3,Commissioner of Agriculture,,,Under Votes,9,6,15
Duval,4,Commissioner of Agriculture,,REP,Sid Miller,21,13,34
Duval,4,Commissioner of Agriculture,,DEM,Kim Olson,33,20,53
Duval,4,Commissioner of Agriculture,,LIB,Richard Carpenter,1,0,1
Duval,4,Commissioner of Agriculture,,,Ballots Cast,55,33,88
Duval,4,Commissioner of Agriculture,,,Over Votes,0,0,0
Duval,4,Commissioner of Agriculture,,,Under Votes,10,2,12
Duval,5,Commissioner of Agriculture,,REP,Sid Miller,30,13,43
Duval,5,Commissioner of Agriculture,,DEM,Kim Olson,95,49,144
Duval,5,Commissioner of Agriculture,,LIB,Richard Carpenter,5,3,8
Duval,5,Commissioner of Agriculture,,,Ballots Cast,130,65,195
Duval,5,Commissioner of Agriculture,,,Over Votes,0,0,0
Duval,5,Commissioner of Agriculture,,,Under Votes,9,3,12
Duval,6,Commissioner of Agriculture,,REP,Sid Miller,8,5,13
Duval,6,Commissioner of Agriculture,,DEM,Kim Olson,36,21,57
Duval,6,Commissioner of Agriculture,,LIB,Richard Carpenter,0,1,1
Duval,6,Commissioner of Agriculture,,,Ballots Cast,44,27,71
Duval,6,Commissioner of Agriculture,,,Over Votes,0,0,0
Duval,6,Commissioner of Agriculture,,,Under Votes,15,6,21
Duval,7,Commissioner of Agriculture,,REP,Sid Miller,31,8,39
Duval,7,Commissioner of Agriculture,,DEM,Kim Olson,17,11,28
Duval,7,Commissioner of Agriculture,,LIB,Richard Carpenter,3,0,3
Duval,7,Commissioner of Agriculture,,,Ballots Cast,51,19,70
Duval,7,Commissioner of Agriculture,,,Over Votes,0,0,0
Duval,7,Commissioner of Agriculture,,,Under Votes,4,2,6
Duval,8,Commissioner of Agriculture,,REP,Sid Miller,270,116,386
Duval,8,Commissioner of Agriculture,,DEM,Kim Olson,425,149,574
Duval,8,Commissioner of Agriculture,,LIB,Richard Carpenter,27,9,36
Duval,8,Commissioner of Agriculture,,,Ballots Cast,722,274,996
Duval,8,Commissioner of Agriculture,,,Over Votes,0,0,0
Duval,8,Commissioner of Agriculture,,,Under Votes,123,43,166
Duval,9,Commissioner of Agriculture,,REP,Sid Miller,55,37,92
Duval,9,Commissioner of Agriculture,,DEM,Kim Olson,274,162,436
Duval,9,Commissioner of Agriculture,,LIB,Richard Carpenter,11,4,15
Duval,9,Commissioner of Agriculture,,,Ballots Cast,340,203,543
Duval,9,Commissioner of Agriculture,,,Over Votes,0,0,0
Duval,9,Commissioner of Agriculture,,,Under Votes,41,28,69
Duval,1,Railroad Commissioner,,REP,Christi Craddick,107,62,169
Duval,1,Railroad Commissioner,,DEM,Roman McAllen,461,226,687
Duval,1,Railroad Commissioner,,LIB,Mike Wright,12,11,23
Duval,1,Railroad Commissioner,,,Ballots Cast,580,299,879
Duval,1,Railroad Commissioner,,,Over Votes,0,0,0
Duval,1,Railroad Commissioner,,,Under Votes,54,41,95
Duval,2,Railroad Commissioner,,REP,Christi Craddick,78,38,116
Duval,2,Railroad Commissioner,,DEM,Roman McAllen,389,144,533
Duval,2,Railroad Commissioner,,LIB,Mike Wright,9,5,14
Duval,2,Railroad Commissioner,,,Ballots Cast,476,187,663
Duval,2,Railroad Commissioner,,,Over Votes,0,0,0
