county,precinct,office,district,party,candidate,votes,election_day,election_day_paper,early_voting,absentee
El Paso,146,Judge County Court At Law 7,,DEM,Patsy Lopez,63,33,0,28,2
El Paso,146,Judge County Court At Law 7,,DEM,Ruben Morales,79,40,0,32,7
El Paso,146,Judge County Criminal Court 1,,DEM,Alma Trejo,123,60,0,55,8
El Paso,146,Judge County Criminal Court 2,,DEM,Robert S Anchondo,124,63,0,54,7
El Paso,146,Judge County Probate Court 1,,DEM,Patricia B Chew,110,58,0,45,7
El Paso,146,Judge County Probate Court 1,,DEM,Darron Powell,25,11,0,12,2
El Paso,146,Judge County Probate Court 2,,DEM,Eduardo A Gamboa,118,58,0,52,8
El Paso,146,District Clerk,,DEM,Norma Favela Barcele,129,64,0,57,8
El Paso,146,County Clerk,,DEM,Delia Briones,124,60,0,56,8
El Paso,146,Justice Of The Peace 5,,DEM,Kathryn Lucero,24,9,0,13,2
El Paso,146,Justice Of The Peace 5,,DEM,John John Chatman,75,42,0,32,1
El Paso,146,Justice Of The Peace 5,,DEM,Lucilla Lucy Najera,49,22,0,21,6
El Paso,146,County Chairman,,DEM,Iliana Holguin,120,60,0,52,8
El Paso,146,Referendum 1,,DEM,For (A Favor),147,70,0,68,9
El Paso,146,Referendum 1,,DEM,Against (En Contra),7,5,0,1,1
El Paso,146,Referendum 2,,DEM,For (A Favor),152,74,0,68,10
El Paso,146,Referendum 2,,DEM,Against (En Contra),8,5,0,2,1
El Paso,146,Referendum 3,,DEM,For (A Favor),152,75,0,67,10
El Paso,146,Referendum 3,,DEM,Against (En Contra),7,5,0,1,1
El Paso,146,Referendum 4,,DEM,For (A Favor),152,76,0,65,11
El Paso,146,Referendum 4,,DEM,Against (En Contra),8,5,0,3,0
El Paso,146,Referendum 5,,DEM,For (A Favor),145,69,0,66,10
El Paso,146,Referendum 5,,DEM,Against (En Contra),13,10,0,2,1
El Paso,146,Referendum 6,,DEM,For (A Favor),155,75,0,69,11
El Paso,146,Referendum 6,,DEM,Against (En Contra),4,3,0,1,0
El Paso,146,Referendum 7,,DEM,For (A Favor),153,76,0,67,10
El Paso,146,Referendum 7,,DEM,Against (En Contra),5,3,0,1,1
El Paso,146,Referendum 8,,DEM,For (A Favor),144,72,0,62,10
El Paso,146,Referendum 8,,DEM,Against (En Contra),16,7,0,8,1
El Paso,146,Referendum 9,,DEM,For (A Favor),143,68,0,64,11
El Paso,146,Referendum 9,,DEM,Against (En Contra),12,8,0,4,0
El Paso,146,Referendum 10,,DEM,For (A Favor),147,72,0,64,11
El Paso,146,Referendum 10,,DEM,Against (En Contra),9,6,0,3,0
El Paso,146,Referendum 11,,DEM,For (A Favor),148,71,0,67,10
El Paso,146,Referendum 11,,DEM,Against (En Contra),7,7,0,0,0
El Paso,146,Referendum 12,,DEM,For (A Favor),147,73,0,63,11
El Paso,146,Referendum 12,,DEM,Against (En Contra),9,6,0,3,0
El Paso,147,U.S. Senate,,REP,Mary Miller,0,0,0,0,0
El Paso,147,U.S. Senate,,REP,Stefano De Stefano,0,0,0,0,0
El Paso,147,U.S. Senate,,REP,Ted Cruz,14,6,0,8,0
El Paso,147,U.S. Senate,,REP,Geraldine Sam,0,0,0,0,0
El Paso,147,U.S. Senate,,REP,Bruce Jacobson Jr,0,0,0,0,0
El Paso,147,U.S. House,16,REP,Alia Garcia-Ureste,7,5,0,2,0
El Paso,147,U.S. House,16,REP,Rick Seeberger,7,1,0,6,0
El Paso,147,Governor,,REP,Greg Abbott,14,6,0,8,0
El Paso,147,Governor,,REP,Barbara Krueger,0,0,0,0,0
El Paso,147,Governor,,REP,Secede Kilgore,0,0,0,0,0
El Paso,147,Lieutenant Governor,,REP,Dan Patrick,12,6,0,6,0
El Paso,147,Lieutenant Governor,,REP,Scott Milder,2,0,0,2,0
El Paso,147,Attorney General,,REP,Ken Paxton,14,6,0,8,0
El Paso,147,Comptroller Of Public Accounts,,REP,Glenn Hegar,13,5,0,8,0
El Paso,147,Commissioner Of General Land Office,,REP,Jerry Patterson,4,0,0,4,0
El Paso,147,Commissioner Of General Land Office,,REP,Rick Range,0,0,0,0,0
El Paso,147,Commissioner Of General Land Office,,REP,Davey Edwards,1,1,0,0,0
El Paso,147,Commissioner Of General Land Office,,REP,George P Bush,9,5,0,4,0
El Paso,147,Commissioner Of Agriculture,,REP,Trey Blocker,3,2,0,1,0
El Paso,147,Commissioner Of Agriculture,,REP,Jim Hogan,5,1,0,4,0
El Paso,147,Commissioner Of Agriculture,,REP,Sid Miller,6,3,0,3,0
El Paso,147,Railroad Commissioner,,REP,Christi Craddick,8,4,0,4,0
El Paso,147,Railroad Commissioner,,REP,Weston Martinez,6,2,0,4,0
El Paso,147,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,14,6,0,8,0
El Paso,147,"Justice, Supreme Court, Place 4",,REP,John Devine,14,6,0,8,0
El Paso,147,"Justice, Supreme Court, Place 6",,REP,Jeff Brown,13,6,0,7,0
El Paso,147,"Presiding Judge, Court Of Criminal Appeals",,REP,Sharon Keller,4,2,0,2,0
El Paso,147,"Presiding Judge, Court Of Criminal Appeals",,REP,David Bridges,10,4,0,6,0
El Paso,147,"Judge, Court Of Criminal Appeals, Place 7",,REP,Barbara Parker Herve,13,6,0,7,0
El Paso,147,"Judge, Court Of Criminal Appeals, Place 8",,REP,Jay Brandon,7,2,0,5,0
El Paso,147,"Judge, Court Of Criminal Appeals, Place 8",,REP,Michelle Slaughter,6,3,0,3,0
El Paso,147,"Judge, Court Of Criminal Appeals, Place 8",,REP,Dib Waldrip,1,1,0,0,0
El Paso,147,County Chairman,,REP,Adolpho R Telles,10,5,0,5,0
El Paso,147,Proposition 1,,REP,For (A Favor),9,4,0,5,0
El Paso,147,Proposition 1,,REP,Against (En Contra),5,2,0,3,0
El Paso,147,Proposition 2,,REP,For (A Favor),14,6,0,8,0
El Paso,147,Proposition 2,,REP,Against (En Contra),0,0,0,0,0
El Paso,147,Proposition 3,,REP,For (A Favor),13,6,0,7,0
El Paso,147,Proposition 3,,REP,Against (En Contra),1,0,0,1,0
El Paso,147,Proposition 4,,REP,For (A Favor),12,5,0,7,0
El Paso,147,Proposition 4,,REP,Against (En Contra),1,0,0,1,0
El Paso,147,Proposition 5,,REP,For (A Favor),11,5,0,6,0
El Paso,147,Proposition 5,,REP,Against (En Contra),3,1,0,2,0
El Paso,147,Proposition 6,,REP,For (A Favor),14,6,0,8,0
El Paso,147,Proposition 6,,REP,Against (En Contra),0,0,0,0,0
El Paso,147,Proposition 7,,REP,For (A Favor),10,3,0,7,0
El Paso,147,Proposition 7,,REP,Against (En Contra),4,3,0,1,0
El Paso,147,Proposition 8,,REP,For (A Favor),14,6,0,8,0
El Paso,147,Proposition 8,,REP,Against (En Contra),0,0,0,0,0
El Paso,147,Proposition 9,,REP,For (A Favor),14,6,0,8,0
El Paso,147,Proposition 9,,REP,Against (En Contra),0,0,0,0,0
El Paso,147,Proposition 10,,REP,For (A Favor),12,5,0,7,0
El Paso,147,Proposition 10,,REP,Against (En Contra),2,1,0,1,0
El Paso,147,Proposition 11,,REP,For (A Favor),11,4,0,7,0
El Paso,147,Proposition 11,,REP,Against (En Contra),3,2,0,1,0
El Paso,147,U.S. Senate,,DEM,Sema Hernandez,11,3,0,8,0
El Paso,147,U.S. Senate,,DEM,Beto O'Rourke,207,98,0,95,14
El Paso,147,U.S. Senate,,DEM,Edward Kimbrough,6,4,0,2,0
El Paso,147,U.S. House,16,DEM,Dori Fenenbock,39,19,0,19,1
El Paso,147,U.S. House,16,DEM,Veronica Escobar,129,64,0,59,6
El Paso,147,U.S. House,16,DEM,Norma Chavez,26,6,0,17,3
El Paso,147,U.S. House,16,DEM,John Carrillo,2,0,0,2,0
El Paso,147,U.S. House,16,DEM,Jerome Tilghman,7,5,0,0,2
El Paso,147,U.S. House,16,DEM,Enrique Garcia,19,11,0,8,0
El Paso,147,Governor,,DEM,Lupe Valdez,100,51,0,45,4
El Paso,147,Governor,,DEM,Adrian Ocegueda,34,17,0,15,2
El Paso,147,Governor,,DEM,Jeffrey Payne,6,4,0,2,0
El Paso,147,Governor,,DEM,James Jolly Clark,3,1,0,2,0
El Paso,147,Governor,,DEM,Joe Mumbach,5,1,0,3,1
El Paso,147,Governor,,DEM,Grady Yarbrough,18,11,0,5,2
El Paso,147,Governor,,DEM,Cedric Davis Sr,8,3,0,5,0
El Paso,147,Governor,,DEM,Andrew White,22,6,0,13,3
El Paso,147,Governor,,DEM,Tom Wakely,8,2,0,6,0
El Paso,147,Lieutenant Governor,,DEM,Michael Cooper,109,49,0,52,8
El Paso,147,Lieutenant Governor,,DEM,Mike Collier,83,43,0,37,3
El Paso,147,Attorney General,,DEM,Justin Nelson,175,85,0,78,12
El Paso,147,Comptroller Of Public Accounts,,DEM,Joi Chevalier,92,52,0,35,5
El Paso,147,Comptroller Of Public Accounts,,DEM,Tim Mahoney,99,40,0,53,6
El Paso,147,Commissioner Of General Land Office,,DEM,Miguel Suazo,161,81,0,69,11
El Paso,147,Commissioner Of General Land Office,,DEM,Tex Morgan,35,12,0,22,1
El Paso,147,Commissioner Of Agriculture,,DEM,Kim Olson,172,83,0,79,10
El Paso,147,Railroad Commissioner,,DEM,Roman Mcallen,131,68,0,57,6
El Paso,147,Railroad Commissioner,,DEM,Chris Spellmon,59,23,0,30,6
El Paso,147,"Justice, Supreme Court, Place 2",,DEM,Steven Kirkland,169,80,0,79,10
El Paso,147,"Justice, Supreme Court, Place 4",,DEM,R.K. Sandill,161,77,0,77,7
El Paso,147,"Justice, Supreme Court, Place 6",,DEM,Kathy Cheng,168,81,0,77,10
El Paso,147,"Presiding Judge, Court Of Criminal Appeals",,DEM,Maria T. (Terry) Jackson,165,76,0,80,9
El Paso,147,"Judge, Court Of Criminal Appeals, Place 7",,DEM,Ramona Franklin,168,77,0,82,9
El Paso,147,State Representative,76,DEM,Cesar J Blanco,172,82,0,80,10
El Paso,147,"Justice, 8th Court Of Appeals District, Place 2",,DEM,Yvonne Rodriguez,166,77,0,79,10
El Paso,147,"Justice, 8th Court Of Appeals District, Place 3",,DEM,Gina M Palafox,165,79,0,78,8
El Paso,147,District Judge 120th Judicial District,,DEM,Maria Salas Mendoza,166,78,0,78,10
El Paso,147,District Judge 168th Judicial District,,DEM,Marcos Lizarraga,163,77,0,77,9
El Paso,147,District Judge 171st Judicial District,,DEM,Bonnie Rangel,164,77,0,77,10
El Paso,147,District Judge 205th Judicial District,,DEM,Francisco X Domingue,165,79,0,77,9
El Paso,147,District Judge 210th Judicial District,,DEM,Alyssa G Perez,117,53,0,56,8
El Paso,147,District Judge 210th Judicial District,,DEM,Monique Velarde,69,38,0,28,3
El Paso,147,District Judge 243rd Judicial District,,DEM,Selena Solis,87,41,0,41,5
El Paso,147,District Judge 243rd Judicial District,,DEM,Feliciano Felix Cast,39,19,0,17,3
El Paso,147,District Judge 243rd Judicial District,,DEM,Roberto J Ramos,27,15,0,10,2
El Paso,147,District Judge 243rd Judicial District,,DEM,Luis Aguilar,45,17,0,27,1
El Paso,147,District Judge 327th Judicial District,,DEM,Linda Yee Chew,165,83,0,74,8
El Paso,147,El Paso County Judge,,DEM,Ricardo Samaniego,86,46,0,36,4
El Paso,147,El Paso County Judge,,DEM,John Cook,72,30,0,36,6
El Paso,147,El Paso County Judge,,DEM,Laura Enriquez,52,26,0,24,2
El Paso,147,Judge County Court At Law 1,,DEM,Ruth Reyes,119,50,0,61,8
El Paso,147,Judge County Court At Law 1,,DEM,Ruben Nunez,83,44,0,36,3
El Paso,147,Judge County Court At Law 2,,DEM,Julie Gonzalez,171,80,0,81,10
El Paso,147,Judge County Court At Law 3,,DEM,Javier Alvarez,167,77,0,80,10
El Paso,147,Judge County Court At Law 4,,DEM,Alex Gonzalez,162,77,0,76,9
El Paso,147,Judge County Court At Law 5,,DEM,Kristin Raquel Romer,61,26,0,33,2
El Paso,147,Judge County Court At Law 5,,DEM,Jesus Rodriguez,73,33,0,32,8
El Paso,147,Judge County Court At Law 5,,DEM,Mike Herrera,47,26,0,21,0
El Paso,147,Judge County Court At Law 5,,DEM,Danny Razo,20,8,0,11,1
El Paso,147,Judge County Court At Law 6,,DEM,M Sue Kurita,168,82,0,78,8
El Paso,147,Judge County Court At Law 7,,DEM,Patsy Lopez,99,40,0,49,10
El Paso,147,Judge County Court At Law 7,,DEM,Ruben Morales,96,50,0,45,1
El Paso,147,Judge County Criminal Court 1,,DEM,Alma Trejo,168,82,0,76,10
El Paso,147,Judge County Criminal Court 2,,DEM,Robert S Anchondo,171,80,0,81,10
El Paso,147,Judge County Probate Court 1,,DEM,Patricia B Chew,137,63,0,65,9
El Paso,147,Judge County Probate Court 1,,DEM,Darron Powell,54,27,0,25,2
El Paso,147,Judge County Probate Court 2,,DEM,Eduardo A Gamboa,162,78,0,75,9
El Paso,147,District Clerk,,DEM,Norma Favela Barcele,172,79,0,83,10
El Paso,147,County Clerk,,DEM,Delia Briones,165,78,0,77,10
El Paso,147,Justice Of The Peace 5,,DEM,Kathryn Lucero,62,29,0,30,3
El Paso,147,Justice Of The Peace 5,,DEM,John John Chatman,88,48,0,38,2
El Paso,147,Justice Of The Peace 5,,DEM,Lucilla Lucy Najera,53,20,0,27,6
El Paso,147,County Chairman,,DEM,Iliana Holguin,164,79,0,75,10
El Paso,147,Referendum 1,,DEM,For (A Favor),195,92,0,92,11
El Paso,147,Referendum 1,,DEM,Against (En Contra),17,7,0,9,1
El Paso,147,Referendum 2,,DEM,For (A Favor),197,93,0,92,12
El Paso,147,Referendum 2,,DEM,Against (En Contra),17,8,0,8,1
El Paso,147,Referendum 3,,DEM,For (A Favor),205,98,0,94,13
El Paso,147,Referendum 3,,DEM,Against (En Contra),10,4,0,6,0
El Paso,147,Referendum 4,,DEM,For (A Favor),211,97,0,100,14
El Paso,147,Referendum 4,,DEM,Against (En Contra),7,5,0,2,0
El Paso,147,Referendum 5,,DEM,For (A Favor),193,90,0,89,14
El Paso,147,Referendum 5,,DEM,Against (En Contra),21,10,0,11,0
El Paso,147,Referendum 6,,DEM,For (A Favor),211,98,0,99,14
El Paso,147,Referendum 6,,DEM,Against (En Contra),6,4,0,2,0
El Paso,147,Referendum 7,,DEM,For (A Favor),206,96,0,96,14
El Paso,147,Referendum 7,,DEM,Against (En Contra),8,5,0,3,0
El Paso,147,Referendum 8,,DEM,For (A Favor),183,83,0,87,13
El Paso,147,Referendum 8,,DEM,Against (En Contra),33,18,0,14,1
El Paso,147,Referendum 9,,DEM,For (A Favor),191,89,0,90,12
El Paso,147,Referendum 9,,DEM,Against (En Contra),21,10,0,9,2
El Paso,147,Referendum 10,,DEM,For (A Favor),204,99,0,92,13
El Paso,147,Referendum 10,,DEM,Against (En Contra),13,3,0,9,1
El Paso,147,Referendum 11,,DEM,For (A Favor),199,95,0,90,14
El Paso,147,Referendum 11,,DEM,Against (En Contra),19,7,0,12,0
El Paso,147,Referendum 12,,DEM,For (A Favor),202,95,0,94,13
El Paso,147,Referendum 12,,DEM,Against (En Contra),11,4,0,6,1
El Paso,148,U.S. Senate,,REP,Mary Miller,1,0,0,1,0
El Paso,148,U.S. Senate,,REP,Stefano De Stefano,1,0,0,1,0
El Paso,148,U.S. Senate,,REP,Ted Cruz,37,20,0,13,4
El Paso,148,U.S. Senate,,REP,Geraldine Sam,0,0,0,0,0
El Paso,148,U.S. Senate,,REP,Bruce Jacobson Jr,1,1,0,0,0
El Paso,148,U.S. House,16,REP,Alia Garcia-Ureste,14,8,0,4,2
El Paso,148,U.S. House,16,REP,Rick Seeberger,26,13,0,11,2
El Paso,148,Governor,,REP,Greg Abbott,39,20,0,15,4
El Paso,148,Governor,,REP,Barbara Krueger,2,2,0,0,0
El Paso,148,Governor,,REP,Secede Kilgore,0,0,0,0,0
El Paso,148,Lieutenant Governor,,REP,Dan Patrick,35,19,0,13,3
El Paso,148,Lieutenant Governor,,REP,Scott Milder,5,2,0,2,1
El Paso,148,Attorney General,,REP,Ken Paxton,39,20,0,15,4
El Paso,148,Comptroller Of Public Accounts,,REP,Glenn Hegar,35,18,0,13,4
El Paso,148,Commissioner Of General Land Office,,REP,Jerry Patterson,10,5,0,3,2
El Paso,148,Commissioner Of General Land Office,,REP,Rick Range,4,1,0,3,0
El Paso,148,Commissioner Of General Land Office,,REP,Davey Edwards,1,1,0,0,0
El Paso,148,Commissioner Of General Land Office,,REP,George P Bush,25,14,0,9,2
El Paso,148,Commissioner Of Agriculture,,REP,Trey Blocker,14,5,0,8,1
El Paso,148,Commissioner Of Agriculture,,REP,Jim Hogan,10,6,0,4,0
El Paso,148,Commissioner Of Agriculture,,REP,Sid Miller,15,9,0,3,3
El Paso,148,Railroad Commissioner,,REP,Christi Craddick,21,14,0,6,1
El Paso,148,Railroad Commissioner,,REP,Weston Martinez,19,7,0,9,3
El Paso,148,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,37,18,0,15,4
El Paso,148,"Justice, Supreme Court, Place 4",,REP,John Devine,37,18,0,15,4
El Paso,148,"Justice, Supreme Court, Place 6",,REP,Jeff Brown,37,18,0,15,4
El Paso,148,"Presiding Judge, Court Of Criminal Appeals",,REP,Sharon Keller,20,11,0,6,3
El Paso,148,"Presiding Judge, Court Of Criminal Appeals",,REP,David Bridges,19,9,0,9,1
El Paso,148,"Judge, Court Of Criminal Appeals, Place 7",,REP,Barbara Parker Herve,38,19,0,15,4
El Paso,148,"Judge, Court Of Criminal Appeals, Place 8",,REP,Jay Brandon,19,10,0,7,2
El Paso,148,"Judge, Court Of Criminal Appeals, Place 8",,REP,Michelle Slaughter,15,9,0,4,2
El Paso,148,"Judge, Court Of Criminal Appeals, Place 8",,REP,Dib Waldrip,6,2,0,4,0
El Paso,148,County Chairman,,REP,Adolpho R Telles,36,18,0,14,4
El Paso,148,Proposition 1,,REP,For (A Favor),27,11,0,12,4
El Paso,148,Proposition 1,,REP,Against (En Contra),14,11,0,3,0
El Paso,148,Proposition 2,,REP,For (A Favor),39,21,0,14,4
El Paso,148,Proposition 2,,REP,Against (En Contra),2,1,0,1,0
El Paso,148,Proposition 3,,REP,For (A Favor),36,19,0,13,4
El Paso,148,Proposition 3,,REP,Against (En Contra),5,3,0,2,0
El Paso,148,Proposition 4,,REP,For (A Favor),37,19,0,14,4
El Paso,148,Proposition 4,,REP,Against (En Contra),4,3,0,1,0
El Paso,148,Proposition 5,,REP,For (A Favor),33,16,0,13,4
El Paso,148,Proposition 5,,REP,Against (En Contra),8,6,0,2,0
El Paso,148,Proposition 6,,REP,For (A Favor),36,19,0,13,4
El Paso,148,Proposition 6,,REP,Against (En Contra),4,2,0,2,0
El Paso,148,Proposition 7,,REP,For (A Favor),28,13,0,11,4
El Paso,148,Proposition 7,,REP,Against (En Contra),13,9,0,4,0
El Paso,148,Proposition 8,,REP,For (A Favor),41,22,0,15,4
El Paso,148,Proposition 8,,REP,Against (En Contra),0,0,0,0,0
El Paso,148,Proposition 9,,REP,For (A Favor),40,21,0,15,4
El Paso,148,Proposition 9,,REP,Against (En Contra),1,1,0,0,0
El Paso,148,Proposition 10,,REP,For (A Favor),39,22,0,13,4
El Paso,148,Proposition 10,,REP,Against (En Contra),2,0,0,2,0
El Paso,148,Proposition 11,,REP,For (A Favor),35,19,0,12,4
El Paso,148,Proposition 11,,REP,Against (En Contra),6,3,0,3,0
El Paso,148,U.S. Senate,,DEM,Sema Hernandez,15,3,0,8,4
El Paso,148,U.S. Senate,,DEM,Beto O'Rourke,312,146,0,143,23
El Paso,148,U.S. Senate,,DEM,Edward Kimbrough,9,5,0,4,0
El Paso,148,U.S. House,16,DEM,Dori Fenenbock,57,19,0,35,3
El Paso,148,U.S. House,16,DEM,Veronica Escobar,204,100,0,88,16
El Paso,148,U.S. House,16,DEM,Norma Chavez,35,16,0,15,4
El Paso,148,U.S. House,16,DEM,John Carrillo,6,4,0,2,0
El Paso,148,U.S. House,16,DEM,Jerome Tilghman,8,3,0,5,0
El Paso,148,U.S. House,16,DEM,Enrique Garcia,19,9,0,7,3
El Paso,148,Governor,,DEM,Lupe Valdez,156,76,0,64,16
El Paso,148,Governor,,DEM,Adrian Ocegueda,44,17,0,25,2
El Paso,148,Governor,,DEM,Jeffrey Payne,12,5,0,7,0
El Paso,148,Governor,,DEM,James Jolly Clark,8,4,0,4,0
El Paso,148,Governor,,DEM,Joe Mumbach,7,4,0,2,1
El Paso,148,Governor,,DEM,Grady Yarbrough,37,16,0,17,4
El Paso,148,Governor,,DEM,Cedric Davis Sr,7,4,0,3,0
El Paso,148,Governor,,DEM,Andrew White,27,8,0,16,3
El Paso,148,Governor,,DEM,Tom Wakely,10,7,0,2,1
El Paso,148,Lieutenant Governor,,DEM,Michael Cooper,178,82,0,81,15
El Paso,148,Lieutenant Governor,,DEM,Mike Collier,107,45,0,50,12
El Paso,148,Attorney General,,DEM,Justin Nelson,257,117,0,116,24
El Paso,148,Comptroller Of Public Accounts,,DEM,Joi Chevalier,136,75,0,52,9
El Paso,148,Comptroller Of Public Accounts,,DEM,Tim Mahoney,134,50,0,71,13
El Paso,148,Commissioner Of General Land Office,,DEM,Miguel Suazo,233,110,0,99,24
El Paso,148,Commissioner Of General Land Office,,DEM,Tex Morgan,57,24,0,30,3
El Paso,148,Commissioner Of Agriculture,,DEM,Kim Olson,251,115,0,111,25
El Paso,148,Railroad Commissioner,,DEM,Roman Mcallen,186,80,0,84,22
El Paso,148,Railroad Commissioner,,DEM,Chris Spellmon,84,40,0,41,3
El Paso,148,"Justice, Supreme Court, Place 2",,DEM,Steven Kirkland,256,115,0,115,26
El Paso,148,"Justice, Supreme Court, Place 4",,DEM,R.K. Sandill,245,113,0,107,25
El Paso,148,"Justice, Supreme Court, Place 6",,DEM,Kathy Cheng,252,115,0,111,26
El Paso,148,"Presiding Judge, Court Of Criminal Appeals",,DEM,Maria T. (Terry) Jackson,257,120,0,111,26
El Paso,148,"Judge, Court Of Criminal Appeals, Place 7",,DEM,Ramona Franklin,253,117,0,111,25
El Paso,148,State Representative,76,DEM,Cesar J Blanco,272,126,0,121,25
El Paso,148,"Justice, 8th Court Of Appeals District, Place 2",,DEM,Yvonne Rodriguez,250,118,0,109,23
El Paso,148,"Justice, 8th Court Of Appeals District, Place 3",,DEM,Gina M Palafox,242,111,0,106,25
El Paso,148,District Judge 120th Judicial District,,DEM,Maria Salas Mendoza,255,116,0,114,25
El Paso,148,District Judge 168th Judicial District,,DEM,Marcos Lizarraga,250,118,0,109,23
El Paso,148,District Judge 171st Judicial District,,DEM,Bonnie Rangel,241,112,0,104,25
El Paso,148,District Judge 205th Judicial District,,DEM,Francisco X Domingue,255,117,0,114,24
El Paso,148,District Judge 210th Judicial District,,DEM,Alyssa G Perez,206,92,0,96,18
El Paso,148,District Judge 210th Judicial District,,DEM,Monique Velarde,82,40,0,34,8
El Paso,148,District Judge 243rd Judicial District,,DEM,Selena Solis,146,63,0,74,9
El Paso,148,District Judge 243rd Judicial District,,DEM,Feliciano Felix Cast,46,19,0,19,8
El Paso,148,District Judge 243rd Judicial District,,DEM,Roberto J Ramos,41,18,0,17,6
El Paso,148,District Judge 243rd Judicial District,,DEM,Luis Aguilar,67,39,0,24,4
El Paso,148,District Judge 327th Judicial District,,DEM,Linda Yee Chew,236,115,0,100,21
El Paso,148,El Paso County Judge,,DEM,Ricardo Samaniego,104,51,0,44,9
El Paso,148,El Paso County Judge,,DEM,John Cook,140,62,0,67,11
El Paso,148,El Paso County Judge,,DEM,Laura Enriquez,70,31,0,33,6
El Paso,148,Judge County Court At Law 1,,DEM,Ruth Reyes,189,90,0,82,17
El Paso,148,Judge County Court At Law 1,,DEM,Ruben Nunez,114,48,0,56,10
El Paso,148,Judge County Court At Law 2,,DEM,Julie Gonzalez,258,120,0,112,26
El Paso,148,Judge County Court At Law 3,,DEM,Javier Alvarez,247,115,0,107,25
El Paso,148,Judge County Court At Law 4,,DEM,Alex Gonzalez,242,114,0,102,26
El Paso,148,Judge County Court At Law 5,,DEM,Kristin Raquel Romer,83,45,0,32,6
El Paso,148,Judge County Court At Law 5,,DEM,Jesus Rodriguez,108,45,0,51,12
El Paso,148,Judge County Court At Law 5,,DEM,Mike Herrera,83,38,0,39,6
El Paso,148,Judge County Court At Law 5,,DEM,Danny Razo,25,11,0,11,3
El Paso,148,Judge County Court At Law 6,,DEM,M Sue Kurita,244,116,0,106,22
El Paso,148,Judge County Court At Law 7,,DEM,Patsy Lopez,137,69,0,61,7
El Paso,148,Judge County Court At Law 7,,DEM,Ruben Morales,161,69,0,72,20
El Paso,148,Judge County Criminal Court 1,,DEM,Alma Trejo,254,121,0,110,23
El Paso,148,Judge County Criminal Court 2,,DEM,Robert S Anchondo,246,115,0,108,23
El Paso,148,Judge County Probate Court 1,,DEM,Patricia B Chew,211,95,0,98,18
El Paso,148,Judge County Probate Court 1,,DEM,Darron Powell,74,37,0,28,9
El Paso,148,Judge County Probate Court 2,,DEM,Eduardo A Gamboa,252,121,0,106,25
El Paso,148,District Clerk,,DEM,Norma Favela Barcele,248,119,0,104,25
El Paso,148,County Clerk,,DEM,Delia Briones,248,115,0,109,24
El Paso,148,Justice Of The Peace 5,,DEM,Kathryn Lucero,82,45,0,32,5
El Paso,148,Justice Of The Peace 5,,DEM,John John Chatman,118,49,0,52,17
El Paso,148,Justice Of The Peace 5,,DEM,Lucilla Lucy Najera,105,44,0,56,5
El Paso,148,County Chairman,,DEM,Iliana Holguin,248,120,0,103,25
El Paso,148,Referendum 1,,DEM,For (A Favor),304,140,0,137,27
El Paso,148,Referendum 1,,DEM,Against (En Contra),19,10,0,9,0
El Paso,148,Referendum 2,,DEM,For (A Favor),304,143,0,134,27
El Paso,148,Referendum 2,,DEM,Against (En Contra),18,7,0,11,0
El Paso,148,Referendum 3,,DEM,For (A Favor),307,140,0,140,27
El Paso,148,Referendum 3,,DEM,Against (En Contra),18,10,0,8,0
El Paso,148,Referendum 4,,DEM,For (A Favor),312,145,0,140,27
El Paso,148,Referendum 4,,DEM,Against (En Contra),12,6,0,6,0
El Paso,148,Referendum 5,,DEM,For (A Favor),285,134,0,125,26
El Paso,148,Referendum 5,,DEM,Against (En Contra),33,14,0,18,1
El Paso,148,Referendum 6,,DEM,For (A Favor),316,145,0,144,27
El Paso,148,Referendum 6,,DEM,Against (En Contra),7,4,0,3,0
El Paso,148,Referendum 7,,DEM,For (A Favor),316,145,0,144,27
El Paso,148,Referendum 7,,DEM,Against (En Contra),8,3,0,5,0
El Paso,148,Referendum 8,,DEM,For (A Favor),284,132,0,126,26
El Paso,148,Referendum 8,,DEM,Against (En Contra),37,16,0,20,1
El Paso,148,Referendum 9,,DEM,For (A Favor),295,138,0,130,27
El Paso,148,Referendum 9,,DEM,Against (En Contra),24,10,0,14,0
El Paso,148,Referendum 10,,DEM,For (A Favor),308,143,0,139,26
El Paso,148,Referendum 10,,DEM,Against (En Contra),15,6,0,9,0
El Paso,148,Referendum 11,,DEM,For (A Favor),295,137,0,131,27
El Paso,148,Referendum 11,,DEM,Against (En Contra),28,13,0,15,0
El Paso,148,Referendum 12,,DEM,For (A Favor),310,144,0,140,26
El Paso,148,Referendum 12,,DEM,Against (En Contra),15,5,0,9,1
El Paso,149,U.S. Senate,,REP,Mary Miller,2,2,0,0,0
El Paso,149,U.S. Senate,,REP,Stefano De Stefano,0,0,0,0,0
El Paso,149,U.S. Senate,,REP,Ted Cruz,29,16,0,11,2
El Paso,149,U.S. Senate,,REP,Geraldine Sam,1,0,0,1,0
El Paso,149,U.S. Senate,,REP,Bruce Jacobson Jr,0,0,0,0,0
El Paso,149,U.S. House,16,REP,Alia Garcia-Ureste,11,8,0,3,0
El Paso,149,U.S. House,16,REP,Rick Seeberger,13,6,0,7,0
