candidate,office,district,party,county,precinct,mail,early_voting,election_day,votes
Dawn Buckingham,State Senate,24,REP,Taylor,303 - W4,0,1,2,3
Clayton Tucker,State Senate,24,DEM,Taylor,303 - W4,0,0,0,0
Stan Lambert,State Representative,71,REP,Taylor,303 - W4,0,1,2,3
Samuel Hatton,State Representative,71,DEM,Taylor,303 - W4,0,0,0,0
Donald J Trump,President,,REP,Taylor,304 - 0,129,996,199,1324
Joseph R Biden,President,,DEM,Taylor,304 - 0,101,432,62,595
Jo Jorgensen,President,,LIB,Taylor,304 - 0,1,32,10,43
Howie Hawkins,President,,GRN,Taylor,304 - 0,0,2,2,4
Abram Loeb (W),President,,,Taylor,304 - 0,0,0,0,0
Brian Carroll (W),President,,,Taylor,304 - 0,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,304 - 0,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,304 - 0,0,0,0,0
Kasey Wells (W),President,,,Taylor,304 - 0,0,0,0,0
President R. Boddie (W),President,,,Taylor,304 - 0,0,0,0,0
Robert Marrow (W),President,,,Taylor,304 - 0,0,1,0,1
Todd Cella (W),President,,,Taylor,304 - 0,0,0,0,0
Tom Heofling (W),President,,,Taylor,304 - 0,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,304 - 0,134,1008,191,1333
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,304 - 0,89,385,66,540
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,304 - 0,3,43,8,54
David B. Collins,U.S. Senate,,GRN,Taylor,304 - 0,3,10,2,15
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,304 - 0,1,0,0,1
Jodey C Arrington,U.S. House,19,REP,Taylor,304 - 0,137,1013,195,1345
Tom Watson,U.S. House,19,DEM,Taylor,304 - 0,89,369,62,520
Joe Bumes,U.S. House,19,LIB,Taylor,304 - 0,2,52,10,64
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,304 - 0,135,1011,182,1328
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,304 - 0,80,357,63,500
Matt Sterett,Railroad Commissioner,,LIB,Taylor,304 - 0,2,48,10,60
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,304 - 0,1,14,3,18
Dawn Buckingham,State Senate,24,REP,Taylor,304 - 0,136,1023,198,1357
Clayton Tucker,State Senate,24,DEM,Taylor,304 - 0,85,400,60,545
Stan Lambert,State Representative,71,REP,Taylor,304 - 0,143,1044,206,1393
Samuel Hatton,State Representative,71,DEM,Taylor,304 - 0,77,374,56,507
Donald J Trump,President,,REP,Taylor,304 - B,0,1,0,1
Joseph R Biden,President,,DEM,Taylor,304 - B,0,0,0,0
Jo Jorgensen,President,,LIB,Taylor,304 - B,0,0,0,0
Howie Hawkins,President,,GRN,Taylor,304 - B,0,0,0,0
Abram Loeb (W),President,,,Taylor,304 - B,0,0,0,0
Brian Carroll (W),President,,,Taylor,304 - B,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,304 - B,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,304 - B,0,0,0,0
Kasey Wells (W),President,,,Taylor,304 - B,0,0,0,0
President R. Boddie (W),President,,,Taylor,304 - B,0,0,0,0
Robert Marrow (W),President,,,Taylor,304 - B,0,0,0,0
Todd Cella (W),President,,,Taylor,304 - B,0,0,0,0
Tom Heofling (W),President,,,Taylor,304 - B,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,304 - B,0,1,0,1
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,304 - B,0,0,0,0
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,304 - B,0,0,0,0
David B. Collins,U.S. Senate,,GRN,Taylor,304 - B,0,0,0,0
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,304 - B,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,304 - B,0,1,0,1
Tom Watson,U.S. House,19,DEM,Taylor,304 - B,0,0,0,0
Joe Bumes,U.S. House,19,LIB,Taylor,304 - B,0,0,0,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,304 - B,0,1,0,1
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,304 - B,0,0,0,0
Matt Sterett,Railroad Commissioner,,LIB,Taylor,304 - B,0,0,0,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,304 - B,0,0,0,0
Dawn Buckingham,State Senate,24,REP,Taylor,304 - B,0,1,0,1
Clayton Tucker,State Senate,24,DEM,Taylor,304 - B,0,0,0,0
Stan Lambert,State Representative,71,REP,Taylor,304 - B,0,1,0,1
Samuel Hatton,State Representative,71,DEM,Taylor,304 - B,0,0,0,0
Donald J Trump,President,,REP,Taylor,305 - 0,208,1281,247,1736
Joseph R Biden,President,,DEM,Taylor,305 - 0,102,327,52,481
Jo Jorgensen,President,,LIB,Taylor,305 - 0,4,20,5,29
Howie Hawkins,President,,GRN,Taylor,305 - 0,0,2,0,2
Abram Loeb (W),President,,,Taylor,305 - 0,0,0,0,0
Brian Carroll (W),President,,,Taylor,305 - 0,0,0,1,1
Gloria La Rivera (W),President,,,Taylor,305 - 0,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,305 - 0,0,0,0,0
Kasey Wells (W),President,,,Taylor,305 - 0,0,1,0,1
President R. Boddie (W),President,,,Taylor,305 - 0,0,0,0,0
Robert Marrow (W),President,,,Taylor,305 - 0,0,0,0,0
Todd Cella (W),President,,,Taylor,305 - 0,0,0,0,0
Tom Heofling (W),President,,,Taylor,305 - 0,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,305 - 0,222,1304,236,1762
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,305 - 0,86,281,48,415
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,305 - 0,2,30,16,48
David B. Collins,U.S. Senate,,GRN,Taylor,305 - 0,0,6,3,9
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,305 - 0,0,1,0,1
Jodey C Arrington,U.S. House,19,REP,Taylor,305 - 0,229,1325,253,1807
Tom Watson,U.S. House,19,DEM,Taylor,305 - 0,79,263,31,373
Joe Bumes,U.S. House,19,LIB,Taylor,305 - 0,0,28,18,46
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,305 - 0,222,1290,242,1754
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,305 - 0,71,276,37,384
Matt Sterett,Railroad Commissioner,,LIB,Taylor,305 - 0,5,29,13,47
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,305 - 0,2,9,3,14
Dawn Buckingham,State Senate,24,REP,Taylor,305 - 0,220,1317,250,1787
Clayton Tucker,State Senate,24,DEM,Taylor,305 - 0,78,277,45,400
Stan Lambert,State Representative,71,REP,Taylor,305 - 0,225,1335,260,1820
Samuel Hatton,State Representative,71,DEM,Taylor,305 - 0,75,259,41,375
Donald J Trump,President,,REP,Taylor,306 - A,0,73,18,91
Joseph R Biden,President,,DEM,Taylor,306 - A,2,28,4,34
Jo Jorgensen,President,,LIB,Taylor,306 - A,0,0,0,0
Howie Hawkins,President,,GRN,Taylor,306 - A,0,1,0,1
Abram Loeb (W),President,,,Taylor,306 - A,0,0,0,0
Brian Carroll (W),President,,,Taylor,306 - A,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,306 - A,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,306 - A,0,0,0,0
Kasey Wells (W),President,,,Taylor,306 - A,0,0,0,0
President R. Boddie (W),President,,,Taylor,306 - A,0,0,0,0
Robert Marrow (W),President,,,Taylor,306 - A,0,0,0,0
Todd Cella (W),President,,,Taylor,306 - A,0,0,0,0
Tom Heofling (W),President,,,Taylor,306 - A,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,306 - A,0,74,18,92
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,306 - A,2,22,4,28
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,306 - A,0,2,0,2
David B. Collins,U.S. Senate,,GRN,Taylor,306 - A,0,1,0,1
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,306 - A,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,306 - A,0,70,19,89
Tom Watson,U.S. House,19,DEM,Taylor,306 - A,2,22,3,27
Joe Bumes,U.S. House,19,LIB,Taylor,306 - A,0,0,0,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,306 - A,0,73,18,91
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,306 - A,2,23,4,29
Matt Sterett,Railroad Commissioner,,LIB,Taylor,306 - A,0,1,0,1
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,306 - A,0,1,0,1
Dawn Buckingham,State Senate,24,REP,Taylor,306 - A,0,69,18,87
Clayton Tucker,State Senate,24,DEM,Taylor,306 - A,2,23,4,29
Stan Lambert,State Representative,71,REP,Taylor,306 - A,0,71,18,89
Samuel Hatton,State Representative,71,DEM,Taylor,306 - A,2,21,4,27
Donald J Trump,President,,REP,Taylor,306 - B,0,4,0,4
Joseph R Biden,President,,DEM,Taylor,306 - B,0,1,0,1
Jo Jorgensen,President,,LIB,Taylor,306 - B,0,0,0,0
Howie Hawkins,President,,GRN,Taylor,306 - B,0,0,0,0
Abram Loeb (W),President,,,Taylor,306 - B,0,0,0,0
Brian Carroll (W),President,,,Taylor,306 - B,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,306 - B,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,306 - B,0,0,0,0
Kasey Wells (W),President,,,Taylor,306 - B,0,0,0,0
President R. Boddie (W),President,,,Taylor,306 - B,0,0,0,0
Robert Marrow (W),President,,,Taylor,306 - B,0,0,0,0
Todd Cella (W),President,,,Taylor,306 - B,0,0,0,0
Tom Heofling (W),President,,,Taylor,306 - B,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,306 - B,0,4,0,4
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,306 - B,0,1,0,1
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,306 - B,0,0,0,0
David B. Collins,U.S. Senate,,GRN,Taylor,306 - B,0,0,0,0
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,306 - B,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,306 - B,0,4,0,4
Tom Watson,U.S. House,19,DEM,Taylor,306 - B,0,1,0,1
Joe Bumes,U.S. House,19,LIB,Taylor,306 - B,0,0,0,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,306 - B,0,4,0,4
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,306 - B,0,1,0,1
Matt Sterett,Railroad Commissioner,,LIB,Taylor,306 - B,0,0,0,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,306 - B,0,0,0,0
Dawn Buckingham,State Senate,24,REP,Taylor,306 - B,0,4,0,4
Clayton Tucker,State Senate,24,DEM,Taylor,306 - B,0,1,0,1
Stan Lambert,State Representative,71,REP,Taylor,306 - B,0,5,0,5
Samuel Hatton,State Representative,71,DEM,Taylor,306 - B,0,0,0,0
Donald J Trump,President,,REP,Taylor,306 - W,340,2198,351,2889
Joseph R Biden,President,,DEM,Taylor,306 - W,173,503,71,747
Jo Jorgensen,President,,LIB,Taylor,306 - W,8,29,8,45
Howie Hawkins,President,,GRN,Taylor,306 - W,0,4,1,5
Abram Loeb (W),President,,,Taylor,306 - W,0,0,0,0
Brian Carroll (W),President,,,Taylor,306 - W,0,2,0,2
Gloria La Rivera (W),President,,,Taylor,306 - W,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,306 - W,0,0,0,0
Kasey Wells (W),President,,,Taylor,306 - W,0,0,0,0
President R. Boddie (W),President,,,Taylor,306 - W,0,0,0,0
Robert Marrow (W),President,,,Taylor,306 - W,0,0,0,0
Todd Cella (W),President,,,Taylor,306 - W,0,1,0,1
Tom Heofling (W),President,,,Taylor,306 - W,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,306 - W,358,2244,358,2960
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,306 - W,144,433,56,633
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,306 - W,12,40,8,60
David B. Collins,U.S. Senate,,GRN,Taylor,306 - W,0,8,1,9
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,306 - W,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,306 - W,357,2256,363,2976
Tom Watson,U.S. House,19,DEM,Taylor,306 - W,141,402,51,594
Joe Bumes,U.S. House,19,LIB,Taylor,306 - W,11,44,9,64
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,306 - W,338,2228,357,2923
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,306 - W,128,393,49,570
Matt Sterett,Railroad Commissioner,,LIB,Taylor,306 - W,11,54,11,76
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,306 - W,6,12,2,20
Dawn Buckingham,State Senate,24,REP,Taylor,306 - W,353,2253,362,2968
Clayton Tucker,State Senate,24,DEM,Taylor,306 - W,134,424,58,616
Stan Lambert,State Representative,71,REP,Taylor,306 - W,362,2298,365,3025
Samuel Hatton,State Representative,71,DEM,Taylor,306 - W,123,385,55,563
Donald J Trump,President,,REP,Taylor,307 - 0,69,885,151,1105
Joseph R Biden,President,,DEM,Taylor,307 - 0,33,106,21,160
Jo Jorgensen,President,,LIB,Taylor,307 - 0,1,12,5,18
Howie Hawkins,President,,GRN,Taylor,307 - 0,0,1,0,1
Abram Loeb (W),President,,,Taylor,307 - 0,0,0,0,0
Brian Carroll (W),President,,,Taylor,307 - 0,0,1,0,1
Gloria La Rivera (W),President,,,Taylor,307 - 0,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,307 - 0,0,0,0,0
Kasey Wells (W),President,,,Taylor,307 - 0,0,0,0,0
President R. Boddie (W),President,,,Taylor,307 - 0,1,0,0,1
Robert Marrow (W),President,,,Taylor,307 - 0,0,0,0,0
Todd Cella (W),President,,,Taylor,307 - 0,0,0,0,0
Tom Heofling (W),President,,,Taylor,307 - 0,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,307 - 0,73,892,149,1114
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,307 - 0,27,88,21,136
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,307 - 0,2,17,6,25
David B. Collins,U.S. Senate,,GRN,Taylor,307 - 0,1,1,1,3
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,307 - 0,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,307 - 0,77,900,156,1133
Tom Watson,U.S. House,19,DEM,Taylor,307 - 0,24,77,18,119
Joe Bumes,U.S. House,19,LIB,Taylor,307 - 0,2,18,2,22
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,307 - 0,73,886,150,1109
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,307 - 0,25,78,14,117
Matt Sterett,Railroad Commissioner,,LIB,Taylor,307 - 0,2,22,4,28
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,307 - 0,0,2,3,5
Dawn Buckingham,State Senate,24,REP,Taylor,307 - 0,73,905,155,1133
Clayton Tucker,State Senate,24,DEM,Taylor,307 - 0,24,85,18,127
Stan Lambert,State Representative,71,REP,Taylor,307 - 0,70,909,158,1137
Samuel Hatton,State Representative,71,DEM,Taylor,307 - 0,25,82,15,122
Donald J Trump,President,,REP,Taylor,307 - A,217,2029,379,2625
Joseph R Biden,President,,DEM,Taylor,307 - A,120,533,77,730
Jo Jorgensen,President,,LIB,Taylor,307 - A,8,34,16,58
Howie Hawkins,President,,GRN,Taylor,307 - A,2,4,0,6
Abram Loeb (W),President,,,Taylor,307 - A,0,0,0,0
Brian Carroll (W),President,,,Taylor,307 - A,1,1,0,2
Gloria La Rivera (W),President,,,Taylor,307 - A,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,307 - A,0,0,0,0
Kasey Wells (W),President,,,Taylor,307 - A,0,0,0,0
President R. Boddie (W),President,,,Taylor,307 - A,0,0,1,1
Robert Marrow (W),President,,,Taylor,307 - A,0,0,0,0
Todd Cella (W),President,,,Taylor,307 - A,0,0,0,0
Tom Heofling (W),President,,,Taylor,307 - A,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,307 - A,232,2068,368,2668
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,307 - A,104,462,83,649
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,307 - A,3,41,18,62
David B. Collins,U.S. Senate,,GRN,Taylor,307 - A,3,11,1,15
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,307 - A,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,307 - A,240,2090,377,2707
Tom Watson,U.S. House,19,DEM,Taylor,307 - A,100,427,66,593
Joe Bumes,U.S. House,19,LIB,Taylor,307 - A,3,52,25,80
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,307 - A,216,2050,362,2628
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,307 - A,96,429,64,589
Matt Sterett,Railroad Commissioner,,LIB,Taylor,307 - A,6,52,26,84
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,307 - A,6,17,5,28
Dawn Buckingham,State Senate,24,REP,Taylor,307 - A,228,2066,390,2684
Clayton Tucker,State Senate,24,DEM,Taylor,307 - A,98,463,69,630
Stan Lambert,State Representative,71,REP,Taylor,307 - A,227,2115,397,2739
Samuel Hatton,State Representative,71,DEM,Taylor,307 - A,96,420,63,579
Donald J Trump,President,,REP,Taylor,308 - 0,18,115,113,246
Joseph R Biden,President,,DEM,Taylor,308 - 0,2,26,13,41
Jo Jorgensen,President,,LIB,Taylor,308 - 0,2,1,1,4
Howie Hawkins,President,,GRN,Taylor,308 - 0,0,0,1,1
Abram Loeb (W),President,,,Taylor,308 - 0,0,0,0,0
Brian Carroll (W),President,,,Taylor,308 - 0,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,308 - 0,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,308 - 0,0,0,0,0
Kasey Wells (W),President,,,Taylor,308 - 0,0,0,0,0
President R. Boddie (W),President,,,Taylor,308 - 0,0,0,0,0
Robert Marrow (W),President,,,Taylor,308 - 0,0,0,0,0
Todd Cella (W),President,,,Taylor,308 - 0,0,0,0,0
Tom Heofling (W),President,,,Taylor,308 - 0,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,308 - 0,19,115,108,242
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,308 - 0,3,24,13,40
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,308 - 0,1,2,3,6
David B. Collins,U.S. Senate,,GRN,Taylor,308 - 0,0,0,1,1
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,308 - 0,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,308 - 0,19,115,112,246
Tom Watson,U.S. House,19,DEM,Taylor,308 - 0,1,25,12,38
Joe Bumes,U.S. House,19,LIB,Taylor,308 - 0,2,0,2,4
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,308 - 0,18,115,114,247
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,308 - 0,1,23,10,34
Matt Sterett,Railroad Commissioner,,LIB,Taylor,308 - 0,1,2,1,4
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,308 - 0,2,2,0,4
Dawn Buckingham,State Senate,24,REP,Taylor,308 - 0,19,115,114,248
Clayton Tucker,State Senate,24,DEM,Taylor,308 - 0,3,24,12,39
Stan Lambert,State Representative,71,REP,Taylor,308 - 0,18,115,116,249
Samuel Hatton,State Representative,71,DEM,Taylor,308 - 0,4,25,11,40
Donald J Trump,President,,REP,Taylor,308 - B,45,671,269,985
Joseph R Biden,President,,DEM,Taylor,308 - B,19,102,28,149
Jo Jorgensen,President,,LIB,Taylor,308 - B,2,6,2,10
Howie Hawkins,President,,GRN,Taylor,308 - B,0,2,1,3
Abram Loeb (W),President,,,Taylor,308 - B,0,0,0,0
Brian Carroll (W),President,,,Taylor,308 - B,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,308 - B,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,308 - B,0,0,0,0
Kasey Wells (W),President,,,Taylor,308 - B,0,0,0,0
President R. Boddie (W),President,,,Taylor,308 - B,0,0,0,0
Robert Marrow (W),President,,,Taylor,308 - B,0,0,0,0
Todd Cella (W),President,,,Taylor,308 - B,0,0,0,0
Tom Heofling (W),President,,,Taylor,308 - B,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,308 - B,43,665,272,980
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,308 - B,17,97,27,141
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,308 - B,4,9,3,16
David B. Collins,U.S. Senate,,GRN,Taylor,308 - B,0,1,0,1
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,308 - B,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,308 - B,46,673,269,988
Tom Watson,U.S. House,19,DEM,Taylor,308 - B,17,86,29,132
Joe Bumes,U.S. House,19,LIB,Taylor,308 - B,2,12,2,16
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,308 - B,43,676,268,987
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,308 - B,19,81,25,125
Matt Sterett,Railroad Commissioner,,LIB,Taylor,308 - B,3,9,5,17
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,308 - B,0,4,0,4
Dawn Buckingham,State Senate,24,REP,Taylor,308 - B,45,680,267,992
Clayton Tucker,State Senate,24,DEM,Taylor,308 - B,17,91,28,136
Stan Lambert,State Representative,71,REP,Taylor,308 - B,46,682,275,1003
Samuel Hatton,State Representative,71,DEM,Taylor,308 - B,17,87,23,127
Donald J Trump,President,,REP,Taylor,401 - 0,30,302,91,423
Joseph R Biden,President,,DEM,Taylor,401 - 0,31,194,58,283
Jo Jorgensen,President,,LIB,Taylor,401 - 0,0,8,8,16
Howie Hawkins,President,,GRN,Taylor,401 - 0,0,4,0,4
Abram Loeb (W),President,,,Taylor,401 - 0,0,0,0,0
Brian Carroll (W),President,,,Taylor,401 - 0,0,1,0,1
Gloria La Rivera (W),President,,,Taylor,401 - 0,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,401 - 0,0,0,0,0
Kasey Wells (W),President,,,Taylor,401 - 0,0,0,0,0
President R. Boddie (W),President,,,Taylor,401 - 0,0,0,0,0
Robert Marrow (W),President,,,Taylor,401 - 0,0,0,0,0
Todd Cella (W),President,,,Taylor,401 - 0,0,0,0,0
Tom Heofling (W),President,,,Taylor,401 - 0,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,401 - 0,25,307,89,421
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,401 - 0,32,175,59,266
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,401 - 0,1,12,6,19
David B. Collins,U.S. Senate,,GRN,Taylor,401 - 0,1,8,0,9
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,401 - 0,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,401 - 0,27,320,97,444
Tom Watson,U.S. House,19,DEM,Taylor,401 - 0,31,159,50,240
Joe Bumes,U.S. House,19,LIB,Taylor,401 - 0,1,13,7,21
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,401 - 0,26,309,80,415
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,401 - 0,28,167,60,255
Matt Sterett,Railroad Commissioner,,LIB,Taylor,401 - 0,0,17,9,26
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,401 - 0,2,6,3,11
Dawn Buckingham,State Senate,24,REP,Taylor,401 - 0,26,312,93,431
Clayton Tucker,State Senate,24,DEM,Taylor,401 - 0,31,173,59,263
Stan Lambert,State Representative,71,REP,Taylor,401 - 0,27,321,98,446
Samuel Hatton,State Representative,71,DEM,Taylor,401 - 0,30,160,3,243
Donald J Trump,President,,REP,Taylor,402 - 0,125,1126,184,1438
Joseph R Biden,President,,DEM,Taylor,402 - 0,74,724,92,890
Jo Jorgensen,President,,LIB,Taylor,402 - 0,3,30,8,41
Howie Hawkins,President,,GRN,Taylor,402 - 0,0,7,0,7
Abram Loeb (W),President,,,Taylor,402 - 0,0,0,0,0
Brian Carroll (W),President,,,Taylor,402 - 0,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,402 - 0,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,402 - 0,0,0,0,0
Kasey Wells (W),President,,,Taylor,402 - 0,0,0,0,0
President R. Boddie (W),President,,,Taylor,402 - 0,0,0,0,0
Robert Marrow (W),President,,,Taylor,402 - 0,0,0,0,0
Todd Cella (W),President,,,Taylor,402 - 0,0,0,0,0
Tom Heofling (W),President,,,Taylor,402 - 0,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,402 - 0,140,1211,186,1537
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,402 - 0,61,594,80,735
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,402 - 0,1,45,12,58
David B. Collins,U.S. Senate,,GRN,Taylor,402 - 0,1,14,4,19
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,402 - 0,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,402 - 0,144,1187,191,1522
Tom Watson,U.S. House,19,DEM,Taylor,402 - 0,57,565,70,692
Joe Bumes,U.S. House,19,LIB,Taylor,402 - 0,1,38,15,54
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,402 - 0,136,1181,178,1495
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,402 - 0,55,554,76,685
Matt Sterett,Railroad Commissioner,,LIB,Taylor,402 - 0,3,42,13,58
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,402 - 0,0,29,5,34
Dawn Buckingham,State Senate,24,REP,Taylor,402 - 0,137,1177,200,1514
Clayton Tucker,State Senate,24,DEM,Taylor,402 - 0,56,571,75,702
Stan Lambert,State Representative,71,REP,Taylor,402 - 0,156,1267,201,1624
Samuel Hatton,State Representative,71,DEM,Taylor,402 - 0,38,488,75,601
Donald J Trump,President,,REP,Taylor,403 - 0,60,766,98,924
Joseph R Biden,President,,DEM,Taylor,403 - 0,101,439,63,603
Jo Jorgensen,President,,LIB,Taylor,403 - 0,0,18,7,25
Howie Hawkins,President,,GRN,Taylor,403 - 0,1,4,1,6
Abram Loeb (W),President,,,Taylor,403 - 0,0,0,0,0
Brian Carroll (W),President,,,Taylor,403 - 0,0,1,1,2
Gloria La Rivera (W),President,,,Taylor,403 - 0,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,403 - 0,0,0,0,0
Kasey Wells (W),President,,,Taylor,403 - 0,0,0,0,0
President R. Boddie (W),President,,,Taylor,403 - 0,0,0,0,0
Robert Marrow (W),President,,,Taylor,403 - 0,0,0,0,0
Todd Cella (W),President,,,Taylor,403 - 0,0,0,0,0
Tom Heofling (W),President,,,Taylor,403 - 0,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,403 - 0,67,777,100,944
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,403 - 0,98,392,55,545
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,403 - 0,1,28,10,39
David B. Collins,U.S. Senate,,GRN,Taylor,403 - 0,2,6,2,10
